yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
63,12000.0,101,3,İzmir,Standart,0
19,41447.25,111,0,Ankara,Premium,0
30,47647.69,119,1,Bursa,Standart,0
61,49439.91,115,3,İzmir,Temel,0
21,39421.28,67,4,İzmir,Premium,0
63,18649.17,25,3,Bursa,Temel,1
32,49919.93,101,1,İzmir,Premium,0
66,70910.25,97,3,İstanbul,Temel,1
33,21992.08,119,4,İstanbul,Standart,0
41,57957.42,79,2,İstanbul,Premium,0
53,40072.12,17,8,İzmir,Temel,1
24,44080.13,61,2,İzmir,Standart,1
47,29206.52,54,2,İzmir,Premium,0
44,39983.16,102,3,Ankara,Temel,0
59,64500.67,48,0,Bursa,Temel,1
70,53739.83,40,3,Antalya,Standart,1
53,70984.67,10,1,İstanbul,,1
39,62661.18,101,2,İzmir,Temel,0
39,51586.3,91,1,İzmir,Standart,0
40,71159.02,5,3,İzmir,Premium,0
61,51584.9,53,1,İstanbul,Temel,1
35,57419.82,58,3,Bursa,Temel,0
26,40551.44,57,2,,Premium,0
35,45998.19,111,3,İzmir,Standart,0
19,,19,3,Antalya,Premium,1
23,59843.76,37,3,Antalya,Standart,1
22,27325.45,22,1,Ankara,Premium,0
58,56735.26,30,4,İzmir,Standart,0
56,42140.23,109,1,Ankara,Temel,0
54,,113,4,,Premium,0
42,56263.03,6,1,İstanbul,Standart,0
56,72309.69,76,1,Ankara,Temel,0
26,55961.62,28,0,Bursa,Temel,0
65,21419.4,24,0,İstanbul,Standart,1
44,43995.7,36,0,Bursa,Temel,1
67,27419.89,24,2,Ankara,Temel,1
26,37225.8,59,2,Antalya,Temel,0
44,67668.43,120,1,Bursa,Standart,0
54,54563.01,71,3,Ankara,Standart,0
44,34516.04,87,2,Bursa,Standart,0
41,29794.24,60,3,Ankara,Temel,1
26,45491.73,2,1,İzmir,,0
38,26751.6,11,2,İzmir,Standart,0
30,34932.9,33,0,Bursa,Temel,1
33,49680.14,30,1,İstanbul,Standart,0
54,62329.68,101,3,İstanbul,Temel,0
51,54131.42,102,2,İzmir,Temel,0
50,12000.0,103,4,İzmir,Temel,1
37,49565.5,77,3,Ankara,Standart,0
68,46080.5,67,3,İstanbul,Temel,1
22,51208.35,78,0,Ankara,Premium,0
36,69243.15,49,2,Bursa,Temel,0
24,14051.43,81,4,İstanbul,Standart,1
35,,96,2,Ankara,Standart,0
68,53863.59,92,2,Antalya,Temel,0
37,21276.08,74,0,İstanbul,Standart,0
66,67139.24,7,2,İzmir,Temel,0
44,50525.35,87,2,İstanbul,Standart,0
55,57698.76,44,2,Bursa,Temel,0
42,,90,1,İzmir,Premium,0
32,57206.46,65,1,Bursa,Premium,1
58,,106,1,İstanbul,Temel,0
69,48493.17,41,1,İzmir,Standart,0
31,48516.01,112,1,Bursa,Premium,0
59,49055.15,102,2,İstanbul,Temel,0
31,32049.82,40,0,İstanbul,Premium,0
55,42787.07,58,1,İstanbul,Standart,0
59,42712.16,64,1,Antalya,Premium,0
41,50750.91,93,2,İzmir,Premium,0
57,59997.36,83,0,İzmir,Temel,0
32,29121.96,103,0,İzmir,Standart,0
22,43124.86,45,1,İzmir,Standart,1
23,67221.83,61,5,Ankara,Temel,1
41,33846.18,52,1,Ankara,Temel,0
65,32666.25,110,3,İzmir,Premium,0
24,48034.59,37,4,İstanbul,Temel,0
42,57665.78,71,2,Bursa,Standart,0
55,45171.39,15,1,Bursa,Premium,0
28,64934.41,103,0,Ankara,Temel,0
56,57851.91,47,3,İzmir,Standart,1
34,57627.3,41,4,İstanbul,Premium,0
60,53311.75,70,2,Antalya,Standart,0
48,79914.8,60,3,,Temel,1
46,41922.57,102,1,Antalya,Temel,0
27,14947.17,64,0,Ankara,Premium,0
42,69063.82,63,1,İstanbul,Temel,0
63,38134.51,13,1,İstanbul,Standart,0
19,46618.21,3,2,İstanbul,Temel,0
58,64643.26,48,4,İstanbul,,1
44,20966.11,120,4,İstanbul,Premium,0
56,26225.29,111,0,Antalya,Standart,0
53,20980.83,76,2,İstanbul,Premium,0
40,33087.96,76,4,İstanbul,,1
34,51594.55,47,3,Bursa,Standart,0
51,52862.82,22,2,İzmir,Premium,0
25,49144.11,2,6,Bursa,Standart,1
48,23808.51,41,3,İzmir,Temel,1
23,12000.0,38,4,Bursa,Premium,1
52,45815.3,23,2,İzmir,Temel,1
51,37923.36,32,0,İzmir,Standart,0
22,51890.79,3,3,İzmir,Premium,1
58,55529.3,73,1,Ankara,Temel,0
40,47073.62,112,3,Ankara,Temel,0
59,56402.0,83,3,Ankara,Temel,1
20,48438.17,54,2,İstanbul,Temel,1
27,52950.97,51,1,Bursa,Temel,0
44,34429.9,37,1,İstanbul,Standart,0
27,42305.83,18,4,İstanbul,Temel,1
35,,72,4,,Standart,0
53,57307.93,68,0,Bursa,Temel,0
25,,1,3,Ankara,Temel,0
53,52817.51,50,3,İzmir,Temel,1
23,41012.42,34,2,Bursa,Standart,1
27,43236.87,21,0,İstanbul,Standart,0
49,57442.79,85,1,Bursa,Temel,0
60,15104.09,64,3,Ankara,Premium,1
27,25552.92,77,1,İstanbul,Standart,0
33,22767.22,86,2,İzmir,Temel,0
67,12000.0,118,2,Antalya,Premium,0
70,34826.03,97,6,İstanbul,Temel,0
48,56241.51,75,6,İzmir,Temel,1
41,40726.74,106,2,İstanbul,Standart,0
36,47966.85,58,1,İzmir,Temel,0
50,61338.26,119,0,İzmir,Temel,0
49,,92,4,İzmir,Standart,0
33,43962.93,79,1,İzmir,Temel,1
19,65303.79,109,2,İstanbul,Premium,0
26,46381.9,62,3,İzmir,Premium,1
68,32439.03,87,1,İzmir,Standart,0
40,36083.99,35,1,İzmir,Standart,0
43,22791.95,116,3,İstanbul,Standart,0
42,31677.99,75,5,Ankara,Premium,0
59,39629.75,94,1,Ankara,Temel,0
21,57053.78,56,4,İstanbul,Temel,0
22,70811.55,105,3,İstanbul,Standart,0
32,24267.28,9,2,Ankara,Standart,1
43,50892.41,14,2,İzmir,Temel,1
53,,61,2,İstanbul,Standart,0
44,52120.46,88,3,Bursa,,0
41,43033.7,98,1,İzmir,Premium,0
67,17536.41,53,1,Bursa,Temel,0
26,58924.45,78,1,Ankara,Temel,0
48,35924.99,67,4,Ankara,Temel,1
46,36991.5,116,4,İzmir,Temel,1
43,28953.71,79,3,Antalya,Temel,0
60,35185.75,51,3,Ankara,Temel,1
32,51418.36,117,4,İzmir,Temel,1
68,42161.33,13,1,İzmir,Temel,0
35,49929.93,119,1,İzmir,Temel,1
46,50428.83,19,3,İstanbul,Temel,0
45,64809.92,35,2,İzmir,Temel,0
63,39858.21,99,3,Ankara,Temel,1
41,,89,1,Antalya,Temel,0
33,61008.34,117,2,Ankara,Temel,1
19,40027.68,90,1,Ankara,Temel,1
